Deposit,Months,PFT_Perc,PFT,Investment
1/5/2016,1,0.05,12500,250000
1/6/2016,2,0.051,12750,250000
1/7/2016,3,0.07,14000,200000
1/8/2016,4,0.03,6000,200000
1/9/2016,5,0.05378,10756,200000
1/10/2016,6,0.03,6000,200000
1/11/2016,7,0.0501,10020,200000
1/12/2016,8,0.03,7500,250000
1/1/2017,9,0.0301,9030,300000
1/2/2017,10,0.036818,11045.4,300000
1/3/2017,11,0.04,33470,500000
1/4/2017,12,0.03,15000,500000
1/5/2017,13,0.0314,15700,500000
1/6/2017,14,0.0305,15250,500000
1/7/2017,15,0.0301,15050,500000
1/8/2017,16,0.0305,18300,600000
1/9/2017,17,0.04,24000,600000
1/10/2017,18,0.04,24000,600000
1/11/2017,19,0.0401,28070,700000
